gen,error
1,6.77710018786834688463642139744619511081982635893580336351375
2,3.14159265358979323846264338327950288419716939937510582097494
3,3.1415926535897932384626433832795028841971693993751
4,0.39433328299307126418083030215708526646433475685709
5,3.1415926535897932384626433832795028841971693993751
6,3.1415926535897932384626433832795028841971693993751
7,3.14159265358979323846264338327950288419716939937510582097494
8,3.1415926535897932384626433832795028841971693993751
9,4.1964749342976071998236053376229847800918132793592
10,2.4029511626538244318017662409874528809345385342622
11,0.66191944322525820768787718809807838544292045979751
12,3.141592653589793238462643383279502884197169399375105820974944
13,10201387.702162011736252383944977232665978392700936
